dates,Close,SandP_Change
8/25/1960,57.790001,-0.00480
8/26/1960,57.599998,-0.00330
8/29/1960,57.439999,-0.00280
8/30/1960,56.84,-0.01040
8/31/1960,56.959999,0.00210
9/1/1960,57.09,0.00230
9/2/1960,57,-0.00160
9/6/1960,56.490002,-0.00890
9/7/1960,55.790001,-0.01240
9/8/1960,55.740002,-0.00090
9/9/1960,56.110001,0.00660
9/12/1960,55.720001,-0.00700
9/13/1960,55.830002,0.00200
9/14/1960,55.439999,-0.00700
9/15/1960,55.220001,-0.00400
9/16/1960,55.110001,-0.00200
9/19/1960,53.860001,-0.02270
9/20/1960,54.009998,0.00280
9/21/1960,54.57,0.01040
9/22/1960,54.360001,-0.00380
9/23/1960,53.900002,-0.00850
9/26/1960,53.060001,-0.01560
9/27/1960,52.939999,-0.00230
9/28/1960,52.48,-0.00870
9/29/1960,52.619999,0.00270
9/30/1960,53.52,0.01710
10/3/1960,53.360001,-0.00300
10/4/1960,52.990002,-0.00690
10/5/1960,53.389999,0.00750
10/6/1960,53.720001,0.00620
10/7/1960,54.029999,0.00580
10/10/1960,54.139999,0.00200
10/11/1960,54.220001,0.00150
10/12/1960,54.150002,-0.00130
10/13/1960,54.57,0.00780
10/14/1960,54.860001,0.00530
10/17/1960,54.630001,-0.00420
10/18/1960,54.349998,-0.00510
10/19/1960,54.25,-0.00180
10/20/1960,53.860001,-0.00720
10/21/1960,53.720001,-0.00260
10/24/1960,52.700001,-0.01900
10/25/1960,52.200001,-0.00950
10/26/1960,53.049999,0.01630
10/27/1960,53.619999,0.01070
10/28/1960,53.41,-0.00390
10/31/1960,53.389999,-0.00040
11/1/1960,53.939999,0.01030
11/2/1960,54.220001,0.00520
11/3/1960,54.43,0.00390
11/4/1960,54.900002,0.00860
11/7/1960,55.110001,0.00380
11/9/1960,55.349998,0.00440
11/10/1960,56.43,0.01950
11/11/1960,55.869999,-0.00990
11/14/1960,55.59,-0.00500
11/15/1960,55.810001,0.00400
11/16/1960,55.700001,-0.00200
11/17/1960,55.549999,-0.00270
11/18/1960,55.82,0.00490
11/21/1960,55.93,0.00200
11/22/1960,55.720001,-0.00380
11/23/1960,55.799999,0.00140
11/25/1960,56.130001,0.00590
11/28/1960,56.029999,-0.00180
11/29/1960,55.830002,-0.00360
11/30/1960,55.540001,-0.00520
12/1/1960,55.299999,-0.00430
12/2/1960,55.389999,0.00160
12/5/1960,55.310001,-0.00140
12/6/1960,55.470001,0.00290
12/7/1960,56.02,0.00990
12/8/1960,56.150002,0.00230
12/9/1960,56.650002,0.00890
12/12/1960,56.849998,0.00350
12/13/1960,56.880001,0.00050
12/14/1960,56.84,-0.00070
12/15/1960,56.68,-0.00280
12/16/1960,57.200001,0.00920
12/19/1960,57.130001,-0.00120
12/20/1960,57.09,-0.00070
12/21/1960,57.549999,0.00810
12/22/1960,57.389999,-0.00280
12/23/1960,57.439999,0.00090
12/27/1960,57.52,0.00140
12/28/1960,57.779999,0.00450
12/29/1960,58.049999,0.00470
12/30/1960,58.110001,0.00100
1/3/1961,57.57,-0.00930
1/4/1961,58.360001,0.01370
1/5/1961,58.57,0.00360
1/6/1961,58.400002,-0.00290
1/9/1961,58.810001,0.00700
1/10/1961,58.970001,0.00270
1/11/1961,59.139999,0.00290
1/12/1961,59.32,0.00300
1/13/1961,59.599998,0.00470
1/16/1961,59.580002,-0.00030
1/17/1961,59.639999,0.00100
1/18/1961,59.68,0.00070
1/19/1961,59.77,0.00150
1/20/1961,59.959999,0.00320
1/23/1961,60.290001,0.00550
1/24/1961,60.450001,0.00270
1/25/1961,60.529999,0.00130
1/26/1961,60.619999,0.00150
1/27/1961,61.240002,0.01020
1/30/1961,61.970001,0.01190
1/31/1961,61.779999,-0.00310
2/1/1961,61.900002,0.00190
2/2/1961,62.299999,0.00650
2/3/1961,62.220001,-0.00130
2/6/1961,61.759998,-0.00740
2/7/1961,61.650002,-0.00180
2/8/1961,62.209999,0.00910
2/9/1961,62.02,-0.00310
2/10/1961,61.5,-0.00840
2/13/1961,61.139999,-0.00590
2/14/1961,61.41,0.00440
2/15/1961,61.919998,0.00830
2/16/1961,62.299999,0.00610
