dates,Close,NASDAQ_Change
7/14/1986,384.799988,-0.01740
7/15/1986,378.700012,-0.01590
7/16/1986,379.700012,0.00260
7/17/1986,381.600006,0.00500
7/18/1986,381.100006,-0.00130
7/21/1986,379.5,-0.00420
7/22/1986,379.899994,0.00110
7/23/1986,379.899994,0.00000
7/24/1986,378.700012,-0.00320
7/25/1986,379.799988,0.00290
7/28/1986,374.799988,-0.01320
7/29/1986,372,-0.00750
7/30/1986,370.799988,-0.00320
7/31/1986,371.399994,0.00160
8/1/1986,370.700012,-0.00190
8/4/1986,366.700012,-0.01080
8/5/1986,366.799988,0.00030
8/6/1986,364.700012,-0.00570
8/7/1986,365.100006,0.00110
8/8/1986,365.799988,0.00190
8/11/1986,369.899994,0.01120
8/12/1986,373.299988,0.00920
8/13/1986,376.899994,0.00960
8/14/1986,379.5,0.00690
8/15/1986,380.200012,0.00180
8/18/1986,379.299988,-0.00240
8/19/1986,378.799988,-0.00130
8/20/1986,380.899994,0.00550
8/21/1986,381.200012,0.00080
8/22/1986,381.5,0.00080
8/25/1986,379.299988,-0.00580
8/26/1986,380.5,0.00320
8/27/1986,381.700012,0.00320
8/28/1986,382.399994,0.00180
8/29/1986,382.899994,0.00130
9/2/1986,380.100006,-0.00730
9/3/1986,378.899994,-0.00320
9/4/1986,381,0.00550
9/5/1986,378.399994,-0.00680
9/8/1986,372,-0.01690
9/9/1986,369.600006,-0.00650
9/10/1986,366.799988,-0.00760
9/11/1986,353.299988,-0.03680
9/12/1986,346.799988,-0.01840
9/15/1986,345.899994,-0.00260
9/16/1986,343.700012,-0.00640
9/17/1986,346.899994,0.00930
9/18/1986,348.600006,0.00490
9/19/1986,349.399994,0.00230
9/22/1986,352.600006,0.00920
9/23/1986,353.399994,0.00230
9/24/1986,354.5,0.00310
9/25/1986,351.5,-0.00850
9/26/1986,351.600006,0.00030
9/29/1986,347.799988,-0.01080
9/30/1986,350.700012,0.00830
10/1/1986,352.299988,0.00460
10/2/1986,352.600006,0.00090
10/3/1986,352.799988,0.00060
10/6/1986,353.200012,0.00110
10/7/1986,352.399994,-0.00230
10/8/1986,352.899994,0.00140
10/9/1986,353.100006,0.00060
10/10/1986,353.5,0.00110
10/13/1986,354.100006,0.00170
10/14/1986,353.799988,-0.00080
10/15/1986,355.700012,0.00540
10/16/1986,356.399994,0.00200
10/17/1986,355.700012,-0.00200
10/20/1986,353.5,-0.00620
10/21/1986,353.100006,-0.00110
10/22/1986,353.899994,0.00230
10/23/1986,356.200012,0.00650
10/24/1986,356.700012,0.00140
10/27/1986,356.600006,-0.00030
10/28/1986,357.200012,0.00170
10/29/1986,358.5,0.00360
10/30/1986,361.100006,0.00730
10/31/1986,360.799988,-0.00080
11/3/1986,361.100006,0.00080
11/4/1986,361.899994,0.00220
11/5/1986,362.100006,0.00060
11/6/1986,361.200012,-0.00250
11/7/1986,361,-0.00060
11/10/1986,360,-0.00280
11/11/1986,361.299988,0.00360
11/12/1986,361.200012,-0.00030
11/13/1986,358,-0.00890
11/14/1986,358.5,0.00140
11/17/1986,357.100006,-0.00390
11/18/1986,352.600006,-0.01260
11/19/1986,349.799988,-0.00790
11/20/1986,352.200012,0.00690
11/21/1986,354.700012,0.00710
11/24/1986,356.100006,0.00390
11/25/1986,357,0.00250
11/26/1986,358.200012,0.00340
11/28/1986,359.600006,0.00390
12/1/1986,357.899994,-0.00470
12/2/1986,360.700012,0.00780
12/3/1986,363,0.00640
12/4/1986,364.100006,0.00300
12/5/1986,363,-0.00300
12/8/1986,361,-0.00550
12/9/1986,359,-0.00550
12/10/1986,359.100006,0.00030
12/11/1986,357.700012,-0.00390
12/12/1986,355.899994,-0.00500
12/15/1986,353,-0.00810
12/16/1986,353.799988,0.00230
12/17/1986,352.299988,-0.00420
12/18/1986,351.399994,-0.00260
12/19/1986,352.200012,0.00230
12/22/1986,351.299988,-0.00260
12/23/1986,348.799988,-0.00710
12/24/1986,349.600006,0.00230
12/26/1986,349.899994,0.00090
12/29/1986,348,-0.00540
12/30/1986,347.299988,-0.00200
12/31/1986,348.799988,0.00430
1/2/1987,353.200012,0.01260
1/5/1987,361.200012,0.02270
1/6/1987,366,0.01330
1/7/1987,372.399994,0.01750
1/8/1987,377.5,0.01370
1/9/1987,380.700012,0.00850
1/12/1987,385.5,0.01260
1/13/1987,386.399994,0.00230
1/14/1987,390,0.00930
1/15/1987,392.600006,0.00670
1/16/1987,389.899994,-0.00690
1/19/1987,392.600006,0.00690
1/20/1987,392.100006,-0.00130
1/21/1987,389.600006,-0.00640
1/22/1987,393.200012,0.00920
1/23/1987,392.200012,-0.00250
1/26/1987,388,-0.01070
1/27/1987,390.799988,0.00720
1/28/1987,392,0.00310
1/29/1987,391,-0.00260
1/30/1987,392.100006,0.00280
2/2/1987,397.200012,0.01300
2/3/1987,399.399994,0.00550
2/4/1987,403.100006,0.00930
2/5/1987,405.600006,0.00620
2/6/1987,406.899994,0.00320
2/9/1987,405.799988,-0.00270
2/10/1987,403.5,-0.00570
2/11/1987,408.299988,0.01190
2/12/1987,409.200012,0.00220
2/13/1987,412.5,0.00810
2/17/1987,418.200012,0.01380
2/18/1987,417.100006,-0.00260
2/19/1987,417,-0.00020
2/20/1987,417.200012,0.00050
2/23/1987,415.200012,-0.00480
2/24/1987,417.399994,0.00530
2/25/1987,421,0.00860
2/26/1987,422.899994,0.00450
2/27/1987,425,0.00500
3/2/1987,423.899994,-0.00260
3/3/1987,423.600006,-0.00070
3/4/1987,426.700012,0.00730
3/5/1987,429,0.00540
3/6/1987,429.5,0.00120
3/9/1987,426.799988,-0.00630
3/10/1987,429.399994,0.00610
3/11/1987,431.399994,0.00470
3/12/1987,432.5,0.00250
3/13/1987,432,-0.00120
3/16/1987,430.899994,-0.00250
3/17/1987,434.799988,0.00910
3/18/1987,434.899994,0.00020
3/19/1987,437,0.00480
3/20/1987,439.600006,0.00590
3/23/1987,438,-0.00360
3/24/1987,438.100006,0.00020
3/25/1987,437.5,-0.00140
3/26/1987,438.700012,0.00270
3/27/1987,436.600006,-0.00480
3/30/1987,427.100006,-0.02180
3/31/1987,430.100006,0.00700
4/1/1987,428.299988,-0.00420
4/2/1987,432.100006,0.00890
4/3/1987,437.399994,0.01230
4/6/1987,437.600006,0.00050
4/7/1987,434,-0.00820
4/8/1987,434.899994,0.00210
4/9/1987,432,-0.00670
4/10/1987,430.899994,-0.00250
4/13/1987,423.700012,-0.01670
4/14/1987,413.200012,-0.02480
4/15/1987,416,0.00680
4/16/1987,419.5,0.00840
4/20/1987,417.700012,-0.00430
4/21/1987,418.600006,0.00220
4/22/1987,418.200012,-0.00100
4/23/1987,417.399994,-0.00190
4/24/1987,412.600006,-0.01150
4/27/1987,409.700012,-0.00700
4/28/1987,411.899994,0.00540
4/29/1987,414.200012,0.00560
4/30/1987,417.799988,0.00870
5/1/1987,418.399994,0.00140
5/4/1987,418.5,0.00020
5/5/1987,422.399994,0.00930
5/6/1987,422.399994,0.00000
5/7/1987,422.600006,0.00050
5/8/1987,423.200012,0.00140
5/11/1987,422.200012,-0.00240
5/12/1987,420.5,-0.00400
5/13/1987,421.899994,0.00330
5/14/1987,422.700012,0.00190
5/15/1987,418.899994,-0.00900
5/18/1987,413.5,-0.01290
5/19/1987,408.200012,-0.01280
5/20/1987,406.600006,-0.00390
5/21/1987,408.5,0.00470
5/22/1987,407.399994,-0.00270
5/26/1987,411.399994,0.00980
5/27/1987,412.600006,0.00290
5/28/1987,414.399994,0.00440
5/29/1987,416.5,0.00510
6/1/1987,415,-0.00360
6/2/1987,413.600006,-0.00340
6/3/1987,415.899994,0.00560
6/4/1987,417.399994,0.00360
6/5/1987,417.799988,0.00100
6/8/1987,419.399994,0.00380
6/9/1987,421.700012,0.00550
6/10/1987,422.799988,0.00260
6/11/1987,423.399994,0.00140
6/12/1987,425.399994,0.00470
6/15/1987,425.399994,0.00000
6/16/1987,427.5,0.00490
6/17/1987,428.399994,0.00210
6/18/1987,429,0.00140
6/19/1987,429.100006,0.00020
6/22/1987,429.299988,0.00050
6/23/1987,428,-0.00300
6/24/1987,427.299988,-0.00160
6/25/1987,427.200012,-0.00020
6/26/1987,426.700012,-0.00120
6/29/1987,426.5,-0.00050
6/30/1987,424.700012,-0.00420
7/1/1987,424.5,-0.00050
7/2/1987,425.899994,0.00330
7/6/1987,425.100006,-0.00190
7/7/1987,424.600006,-0.00120
7/8/1987,424.899994,0.00070
7/9/1987,425.600006,0.00160
7/10/1987,426,0.00090
7/13/1987,426.5,0.00120
7/14/1987,431.100006,0.01080
7/15/1987,431.200012,0.00020
7/16/1987,433.200012,0.00460
7/17/1987,434.100006,0.00210
7/20/1987,431.600006,-0.00580
7/21/1987,429.399994,-0.00510
7/22/1987,429.299988,-0.00020
7/23/1987,427.600006,-0.00400
7/24/1987,429.100006,0.00350
7/27/1987,428.899994,-0.00050
7/28/1987,430,0.00260
7/29/1987,431.200012,0.00280
7/30/1987,433.600006,0.00560
7/31/1987,434.899994,0.00300
8/3/1987,433.100006,-0.00410
8/4/1987,432.799988,-0.00070
8/5/1987,436.299988,0.00810
8/6/1987,440.799988,0.01030
8/7/1987,443.600006,0.00640
8/10/1987,446.299988,0.00610
8/11/1987,449.399994,0.00690
8/12/1987,449.200012,-0.00040
8/13/1987,451.600006,0.00530
8/14/1987,451.600006,0.00000
8/17/1987,451.700012,0.00020
8/18/1987,446.799988,-0.01080
8/19/1987,448,0.00270
8/20/1987,452.799988,0.01070
8/21/1987,455.200012,0.00530
8/24/1987,453.799988,-0.00310
8/25/1987,455.100006,0.00290
